username,password,realName,idCard,phone,bankCard,bankName,bankCode,monthlyIncome,creditScore,loanLimit,totalBorrowed,pendingRepay,isProfileCompleted,education,school,maritalStatus,workStatus,company,position,income,hasHouse,hasCar,contactName,contactPhone,relation
testuser,testpassword,测试用户,123456789012345678,13800138000,1234567890123456,测试银行,TEST,5000,573,50000,0,0,false,,,,,,,,false,false,,,
testuser1,$2b$12$DfT5NpIchhf.Vq/4FLy1ieOukro9suf4SRttEzp/X5xldQi7Ti4my,此程序,420950200410160513,18727546915,,,,,750,,,,true,本科,电子科技大学,未婚,在职员工,中学,教师,5000-8000,true,true,18725456125,18727546915,父母
15487548754,$2b$12$y9uoW5iOAxT7Zk1CHQLGSef1YyA9hw9/ssXWIfDdQAym1U66NKsI2,,,,,,,,558,,,,,,,,,,,,,,,,
12454541245,$2b$12$8JqmfGd/h7xbKkY0/tLIzOPZd406d9iL3PIZ8iZ1suG6ReDZnwm0e,,,,,,,,387,,,,,,,,,,,,,,,,
12454512451,$2b$12$uRQ/NKQy56IMCoy.zY28A.MXIr4BP/tzaIGv0oyXBCurLmEsJtx9m,,,,,,,,388,,,,,,,,,,,,,,,,
12454512455,$2b$12$btWJxr5AkwEke6OT.bw5ie4otkp1tdlmfFJFwtHuZTZRaN8Etht9m,,,,,,,,516,,,,,,,,,,,,,,,,
12454512452,$2b$12$jy9rRSNDZ5XvaVukTJ2rR.ahM1YskSv/az77Q/RnCBm8R41d5A1qS,,,,,,,,500,,,,,,,,,,,,,,,,
12454512458,$2b$12$heCNeSdoSvoQ.DMq3m16d.CN.3iduQItNrLobNYNfghMBmt29AEr2,,,,,,,,525,,,,,,,,,,,,,,,,
12454512459,$2b$12$zStrMvT8Uw0Jy8CeDmnMBO8pkd8CUSnteEf7HypadwYw7swribqS2,,,,,,,,493,,,,,,,,,,,,,,,,
12454512457,$2b$12$.TTCsFfAAs/SZaEeBqgT7e7Hpv.17q.U6gtG8p2rcC0b0/Kf5QURa,,,,,,,,506,,,,,,,,,,,,,,,,
12454512466,$2b$12$hPCYm5PdmN7inYAwLVzDDOOQaFgJXTv.ENt3Cm3nNHWdtWs21Q6xK,,,,,,,,513,,,,,,,,,,,,,,,,
12454512488,$2b$12$QbIOdL3jMRKO8EiUgaw32OkuD1GQ/4l636Nekj4vUuHOeMFUTFb.O,,,,,,,,536,,,,,,,,,,,,,,,,
12312312311,$2b$12$5Scfhu81gWCO6N/uPBPnmeI6RlvwWLzU4So//Ov8ZRfuLEv.WH69C,,,,,,,,427,,,,,,,,,,,,,,,,
12312312312,$2b$12$iVe2Yt10wSFkqIoYgnWuGuA0UA2D/BkrEcSbJbdSncfyT9b7x6Ed6,,,,,,,,438,,,,,,,,,,,,,,,,
12312312313,$2b$12$BEuEcChTEkUgJ7lqODiXFO7jdZaXzAEdfyW7gSRqd8mKU4BOch/B.,,,,,,,,432,,,,,,,,,,,,,,,,
12312312315,$2b$12$5agNAg/poLrCHtu62Hbyh.0qsDvhwVxMvfv3ZzfEx4aCLjr3x2tCW,,,,,,,,396,,,,,,,,,,,,,,,,
12569548521,$2b$12$ijDq7tyew3a20UIx7GBewOpaLJMfbW78kdcsvqYPCLD9wXdR/MSBa,,,,,,,,574,,,,,,,,,,,,,,,,
16984571254,$2b$12$Af/cJ5ICpDkk/k6JMOh5suygFe3SyehD9S7UW28K8r4VGEbkJHCNy,,,,,,,,565,,,,,,,,,,,,,,,,
18727546918,$2b$12$lRnoCazDVfnfD6LYFBfaQOYJmUWpUzHIkRWj8QoT1psqLP0iJlVZ.,串串香,425659555215456985,18727546918,1231231231231231231,中国工商银行,ICBC,5000,750,50000,153000.0,23000.0,true,本科,清华大学,已婚,在职员工,腾讯公司,软件工程师,8000-12000,true,true,小明,13800138001,朋友
18727546915,$2b$12$xFLQq78qOX0ixwF8l2lzIuPATmLTGR0a45e1wKVfY6bzJXyGfuMGq,才出现,420510200602150254,18727546916,1234123412341234,中国工商银行,ICBC,5000,615,50000,2000.0,2000.0,true,初中及以下,无,未婚,在职员工,无,无,3000以下,false,false,莉莉,18727546912,父母
18727546916,$2b$12$ttym0G/6oDr2dBSE.mu7K.6OPXVVoDJIbNvllXBHcbMAQFCUE3J3W,才出现,420152200101120625,18727546916,1234123412341234,中国工商银行,ICBC,5000,598,50000,2000.0,1326.4666666666667,true,,,,,,,,false,false,,,
18727546911,$2b$12$oBJgiP3dngwksfyx.TX4oelre3leN/3cmhDKpDY6YGNGCwIcIC4Y6,常出现,420620200102210215,18727546911,1234123412341234,中国工商银行,ICBC,5000,750,50000,2000.0,1326.4666666666667,true,博士,武大,已婚,在职员工,大学,教师,5000-8000,true,true,莉莉,18727541254,父母
18727546954,$2b$12$JOxTWoCGHnez28nFMZ0LLulWUuQMapsTbM/vkz3oeLuvLMQ3qhEye,才出现,420926500212051245,18727546954,,,,0,466,50000,0,0,true,,,,,,,,none,none,,,
